question,correct,ans1,ans2,ans3,ans4,img,questionType
In which years did FedEx used this logo?,2,1994-present,1973-1991,1953-1973,1926-1953,FedEx1973-1991.jpg,2
In which years did Smuckers used this logo?,4,1904-1915,1950-1962,1972-1974,1974-1989,smuckers1974-1989.jpg,2
In which years did Rocket Mortgage used this logo?,1,1999-2021,2021-present,1985-1999,1971-1985,quickenloans_1999-2021.jpg,2
In which years did Goodyear used this logo?,3,1898-1930,1930-1942,1942-1968,1968-present,Goodyear1942-1968.jpg,2
In which years did FedEx used this logo?,1,1991-1994,1973-1991,1926-1953,1953-1973,FedEx1991-1994.jpg,2
In which years did FedEx used this logo?,3,1953-1973,1991-1994,1994-present,1973-1991,FedEx1994-present.jpg,2
In which years did Goodyear used this logo?,4,1942-1968,1968-present,1930-1942,1898-1930,Goodyear1898-1930.jpg,2
In which years did Goodyear used this logo?,2,1968-present,1930-1942,1898-1930,1942-1968,Goodyear1930-1942.jpg,2
In which years did Goodyear used this logo?,4,1898-1930,1942-1968,1930-1942,1968-present,Goodyear1968-present.jpg,2
In which years did Smuckers used this logo?,1,1904-1915,1930-1940,1915-1930,1930-1940,Smuckers1904-1915.jpg,2
In which years did Smuckers used this logo?,2,1962-1972,1915-1930,1904-1915,1904-1915,Smuckers1915-1930.jpg,2
In which years did Smuckers used this logo?,3,1904-1915,1915-1930,1930-1940,1962-1972,Smuckers1930-1940.jpg,2
In which years did Smuckers used this logo?,4,1915-1930,1904-1915,1962-1972,1940-1950,Smuckers1940-1950.jpg,2
In which years did Smuckers used this logo?,3,1904-1915,1962-1972,1950-1962,1915-1930,Smuckers1950-1962.jpg,2
In which years did Smuckers used this logo?,2,1930-1940,1962-1972,1915-1930,1904-1915,Smuckers1962-1972.jpg,2
In which years did Smuckers used this logo?,2,1915-1930,1972-1974,1904-1915,1962-1972,Smuckers1972-1974.jpg,2
In which years did Smuckers used this logo?,1,1989-2020,1904-1915,1915-1930,1930-1940,Smuckers1989-2020.jpg,2
In which years did Caterpillar used this logo?,4,1939-1941,1931-1939,1941-1957,1931-1939,Cat1931-1939.jpg,2
In which years did Caterpillar used this logo?,3,1931-1939,1904-1915,1939-1941,1941-1957,Cat1939-1941.jpg,2
In which years did Caterpillar used this logo?,1,1941-1957,1939-1941,1931-1939,1904-1915,Cat1941-1957.jpg,2
In which years did Caterpillar used this logo?,1,1957-1967,1931-1939,1904-1915,1939-1941,Cat1957-1967.jpg,2
In which years did Caterpillar used this logo?,2,1989-2004,1967-1989,1989-present,1904-1915,Cat1967-1989.jpg,2
In which years did Caterpillar used this logo?,4,1967-1989,1904-1915,1989-2004,1989-present,Cat1989-present.jpg,2
In which years did Smuckers used this logo?,3,1989-2020,1962-1972,2020-present,1950-1962,Smuckers2020-present.jpg,2
