question,correct,ans1,ans2,ans3,ans4,img
Which Akron high school has a nationally recognized jazz program? ,2,Akron Central High School,Firestone High School,Summit High School,Buchtel High School,img44.jpg
What famous American writer lived and worked in Akron?,1,Rita Dove,Toni Morrison,Ernest Hemingway,Mark Twain,img45.jpg
What is the name of the annual marathon held in Akron? ,2,Summit County Marathon,The Akron Marathon,Rubber City Marathon,Akron City Run,img46.jpg
Which historical figure associated with the abolitionist movement lived in Akron,3,Harriet Tubman,Frederick Douglass,John Brown,Sojourner Truth,img47.jpg
What is a popular traditional event held during the Christmas season in Akron? ,4,Christmas Market,Yulefest Celebration,Winter Wonderland Parade,Welcome Santa Parade,img48.jpg
What is the name of the famous blimp often seen over Akron?,2,Summit Blimp,The Goodyear Blimp,Akron Skyship,Rubber City Blimp,img49.jpg
What is the University of Akron's athletic nickname?,4,The Zipper,The Akronites,The Rowdies,The Zips,img5.jpg
What is the University of Akron's athletic nickname's origin?,2,A slipper,A rubber shoe,A book bag,A Kangaroo,img62.jpg
What is the name of Akron's minor league baseball team?,1,The Akron RubberDucks,The Akron Duckies,The Akron Goose,The Akron Swan,img50.jpg
What is the former name of Akron's minor league baseball team?,3,The Akron Steamroller,Akron Flyers,Akron Aeros,Akron Gold Sox,img50.jpg
What was the original nickname of East High School in Akron befor it changed to the Dragons in 2010?,1,The Orientals,The Flying Squirrels,The Mighty Oaks,The Thundering Herd,img51.jpg
What toy is credited to have been invented by Akron-based food vendors Charles and Frank Menches?,2,Teddy Bear,The ice cream cone,Slinky,Rubik's Cube,img52.jpg
What phrase is commonly associated with the Women's convention in Akron in 1851?,4,"""Give me liberty or give me death!""","""We hold these truths to be self-evident, that all men are created equal""","""I think, Therefore I am""","""Ain't I a Woman""",img53.jpg
What was the Akron Airdock used for?,2,It was used as an indoor ski resort,It was used for constructing airships,It served as a filming studio,It functioned as a giant indoor water park,img54.jpg
What notable event occurred at the Akron Airdock during Bill Clinton's 1992 presidential campaign?,1,He spoke to a crowd of 30000,He announced his vice-presidential running mate,"He delivered his famous ""I did not inhale"" speech",He revealed his plan for the first trip to Mars,img55.jpg
"In which TV show does the fictional high school glee club rival, Vocal Adrenaline, hail from the fictitious Carmel High School in Akron?",2,Riverdale,Glee,The Vampire Diaries,Pretty Little Liars,img56.jpg
"Which famous inventor got married in Akron in 1886 to Mina Miller, daughter of local inventor and philanthropist Lewis miller?",3,Alexander Graham Bell,Nikola Tesla,Thomas Edison,George Westinghouse,img57.jpg
"Who designed the first American spacesuit to orbit the earth, and what company was he associated with?",2,Goodyear; John Smith,B.F. Goodrich; John Glenn,University of Akron; Bob Johnson,Tesla; Elon Musk,img13.jpg
"What is Akron's Greek Translation, and what does it mean?",3,"""Spinning pizza""","""Pork""","""A high place""","""Wind Hammer""",img30.jpg
"What was the occupation of Parke Thompson, an Akron native who held the Guinness World Record for ""Most Travelled Person""?",1,Attorney,Pastry Maker,Businessman,Teacher,img58.jpg
"Which famous basketball player hails from Akron, Ohio?",2,Stephen Curry,Lebron James,Giannis Antetokounmpo,Michael Jordan,img59.jpg
"Which sport did this famous basketball player that hails from Akron, Ohio excel in during high school before focusing on basektball?",4,Baseball,Golf,Rugby,Football,img59.jpg
Who founded the Alcoholics Anonymous in Akron in 1935?,2,Benjamin Franklin,Bill Wilson,Marie Curie,Alexander the Great,img60.jpg
"What annual festival celebrates Akron's heritage and includes quirky competitions like ""Bobbing for Burgers""?",1,The National Hamburger Festival,The pancake festival,The pickle palooza,The sausage spectacular,img30.jpg
What was the USS Akron?,3,It was a Flying bicycle,It was a submarine-shaped hot air balloon,It was an airship commisioned by the U.S. Navy,It was a luxury cruise liner,img61.jpg
Where was the USS Akron constructed?,1,Contructed at the Goodyear Airdock,Constructed at the University of Akron,Constructed at the Firs Energy,Constructed at Atlantis,img61.jpg
What happened to USS Akron in 1933?,4,Transformed into a museum,Got shot down,Became lost in the Bermuda Triangle,Destroyed during a Thunderstorm,img61.jpg
"Who is known for arguably being the best yo-yoer ever and offered a prize of $100,000 to anyone who could match her yo-yo skills?",2,,Linda Lorenz-Sengpiel,,,
"What was the original occupation of George Wallace, a comedian famous for his show at Flamingo Las Vegas, before he moved to Akron?",3,,,He worked for Goodyear Tire at Sixteen,,
Which famous comedian was George Wallace's roommate in New York City?,1,Jerry Seinfied,,,,
What was the nickname of the Akron-based semi-professional football team during the 1910s and '20s?,4,,,,The Goodyear Silents,
"Who was the notable figure associated with Buchtel College, now the University of Akron, between 1893 and 1894?",2,,"John Heisman, of Heisman Trophy fame, served as the football and baseball coach.",,,
"What was the occupation of John Brown, a famous abolitionist who once lived in Akron?",1,He worked as a sheep and wool expert.,,,,
"Who founded Alcoholics Anonymous in Akron in 1935, and what were their professions?",3,,,"Bill Wilson, a New York stockbroker, and Dr. Bob Smith, a local surgeon.",,
Who are the Akron natives and musicians known for the new wave band Devo?,2,,Devo,,,
"What is the historical significance of the American Marble & Toy Manufacturing Company, founded in Akron in 1884?",4,,,,It was the United States' first major toy manufacturer.,
"Who are the famous musicians from Akron, Ohio, known for their band the Black Keys?",1,Dan Auerbach and Patrick Carney,,,,
"Who were the inventors credited with popularizing oatmeal, and what company did they found in Akron?",3,,,Ferdinand Schumacher and the Quaker Oats Company,,
"What scandalous event occurred during the Soap Box Derby in 1973, and what was the outcome?",2,,"A 14-year-old boy from Boulder, Colorado used an electromagnet to cheat, winning by suspiciously large margins. He was later stripped of his title",,,
What is the name of the historic building in Akron where Alcoholics Anonymous (AA) was founded in 1935?,4,,,,Dr. Bob's House,
Which architectural model for churches was first used at Akron's First Methodist Episcopal Church?,3,,,The Akron Plan,,
"What is the German translation of ""Goosetown,"" a neighborhood in Akron during the early 20th century?",1,Gänsestadt,,,,
What is the name of the Akron-based company that hosted the world Soap Box Derby championship since 1934?,2,,Derby Downs,,,
"What was the original occupation of I.C. Bahr, the sales manager who named the Dum Dum lollipop?",2,,He was a sales manager at the Akron Candy Company,,,
"Which famous actor starred in the 1940 movie ""Dance, Girl, Dance"" set in Akron, Ohio?",4,,,,Lucille Ball,
"What was the occupation of Seth Iredell, Akron's first mayor elected in 1836?",1,He was a Whig candidate,,,,
Which local college did John Heisman serve as the football and baseball coach between 1893 and 1894?,3,,,Buchtel College,,
"Who is the famous comedian known for his show at Flamingo Las Vegas, who moved to Akron to work for Goodyear Tire at the age of sixteen?",2,,George Wallace,,,
"Which Akron-based toy company, founded in 1884, was the United States' first major toy manufacturer?",4,,,,American Marble & Toy Manufacturing Company.,
Who is the famous musician and Akron native known as one of the founders of the band Devo?,1,Mark Mothersbaugh,,,,
" What is the name of the fictional high school glee club rival in the TV show ""Glee,"" and where is it based?",4,,,,Vocal Adrenaline; it is based in the fictitious Carmel High School in Akron.,
"Which famous inventor and philanthropist from Akron, Ohio, had a daughter named Mina Miller, who married Thomas Edison?",2,,Lewis Miller,,,
